datetime,High,Low,Close,DI+,DI-,ADX,NetDI,NetDI_MA9,Sentiment,MACD,Signal,Histogram,MACD_Sentiment_5,MiddleBB,UpperBB,LowerBB,BB_Width,BB_Sentiment
2025-09-01 10:35:00+05:30,53776.4,53762.95,53763.4,15.343818580834235,31.03511338697827,33.47166744864047,-15.691294806144036,-14.241661289259177,Sideways,-27.86,-25.94,-1.92,Sideways,53816.99250000001,53878.12932045856,53755.855679541455,122.27364091710479,Sideways
2025-09-01 10:36:00+05:30,53767.65,53755.75,53764.7,15.977908969720211,28.756427347172032,32.069231803838555,-12.778518377451821,-14.461672334272492,Sideways,-28.67,-26.49,-2.18,Sideways,53811.7075,53871.66827028921,53751.74672971079,119.92154057841981,Sideways
2025-09-01 10:37:00+05:30,53786.0,53760.65,53783.8,21.871599564743267,27.384838592673233,29.42224261989769,-5.513239027929966,-14.173353547586077,Sideways,-27.45,-26.68,-0.77,Sideways,53807.0175,53859.48248857626,53754.552511423746,104.92997715251113,Sideways
2025-09-01 10:38:00+05:30,53788.55,53772.25,53780.7,23.247641945625816,23.321620122062683,25.676232191283027,-0.07397817643686722,-13.5210177011027,Sideways,-26.43,-26.63,0.2,Sideways,53802.8375,53849.03298707727,53756.64201292273,92.3909741545358,Sideways
2025-09-01 10:39:00+05:30,53783.4,53767.15,53771.5,12.696790022490195,27.867511756284834,26.3235058488679,-15.17072173379464,-14.331960398451631,Sideways,-26.07,-26.52,0.45,Sideways,53798.9775,53841.81694904789,53756.13805095211,85.678898095779,Sideways
2025-09-01 10:40:00+05:30,53779.8,53766.95,53770.35,12.652811735940931,27.852485737570216,26.80155801415182,-15.199674001629285,-13.675818135558824,Sideways,-25.57,-26.33,0.76,Sideways,53795.975,53837.950299754295,53753.9997002457,83.95059950859286,Sideways
2025-09-01 10:41:00+05:30,53778.4,53767.05,53771.65,8.870967741935061,29.01103565364932,29.249541356866533,-20.140067911714258,-13.598251831158692,Bearish,-24.79,-26.02,1.23,Sideways,53793.854999999996,53836.2671618604,53751.44283813959,84.82432372080802,Sideways
2025-09-01 10:42:00+05:30,53778.7,53766.25,53773.35,8.87285077478211,29.356824453407544,32.045057319450805,-20.483973678625432,-13.518497943092184,Bearish,-23.76,-25.57,1.81,Sideways,53792.6375,53835.97287360231,53749.302126397684,86.67074720462551,Sideways
2025-09-01 10:43:00+05:30,53799.1,53773.8,53797.05,17.338371116708494,26.1544920235088,32.684879148020144,-8.816120906800307,-12.651954291169623,Sideways,-20.79,-24.61,3.82,Sideways,53792.572499999995,53835.875684214865,53749.269315785124,86.60636842974054,Sideways
2025-09-01 10:44:00+05:30,53815.75,53795.75,53804.0,23.667551562181444,25.444149479272856,31.851253652740436,-1.7765979170914115,-11.105876859052664,Sideways,-17.68,-23.23,5.55,Bullish,53793.1425,53836.746281523476,53749.53871847653,87.20756304694805,Sideways
2025-09-01 10:45:00+05:30,53833.9,53799.5,53828.35,30.440000000000556,19.04000000000122,30.38560487013152,11.399999999999334,-8.419374817113647,Sideways,-13.09,-21.2,8.11,Bullish,53793.8275,53839.246571753356,53748.40842824664,90.8381435067131,Sideways
2025-09-01 10:46:00+05:30,53863.4,53828.55,53855.1,39.009974141116096,16.642039157739553,30.19596827914024,22.367934983376543,-5.321466593635147,Bullish,-7.21,-18.4,11.19,Bullish,53795.5125,53847.29347471171,53743.73152528828,103.561949423427,Bullish
2025-09-01 10:47:00+05:30,53865.35,53839.55,53839.55,39.07356948228885,11.607629427794194,30.946130651948156,27.46594005449466,-2.2614756790872,Bullish,-3.77,-15.48,11.71,Bullish,53796.530000000006,53851.00071062305,53742.059289376964,108.94142124608334,Sideways
2025-09-01 10:48:00+05:30,53846.75,53835.75,53836.3,39.39560439560441,10.86080586080877,32.39376534760593,28.53479853479564,2.5946932396450535,Bullish,-1.29,-12.64,11.35,Bullish,53796.990000000005,53852.68923556114,53741.29076443887,111.3984711222729,Sideways
2025-09-01 10:49:00+05:30,53849.05,53834.95,53849.05,40.304531278665095,6.2740781507999195,35.195726231454294,34.03045312786517,8.064707365144436,Bullish,1.69,-9.77,11.46,Bullish,53798.277500000004,53857.60938966795,53738.945610332055,118.66377933589683,Sideways
